line_number,log_level,content_type,priority,manual_annotation_needed,original_log,category,message
776,UNKNOWN,stack_exception,1,True,"2025-07-25T01:25:42.263639,""<li>UnsupportedOperationException when creating 'scratch file' in IntelliJ IDEA <a href=""""https://redirect.github.com/spring-io/spring-javaformat/pull/441"""">#441</a></li>"",unknown,github_issue,spring-projects/spring-security,17437,Bump io-spring-javaformat from 0.0.46 to 0.0.47,https://github.com/spring-projects/spring-security/pull/17437",stack_exception,776
9755,UNKNOWN,stack_exception,1,True,at org.springframework.boot.SpringApplication.prepareEnvironment(SpringApplication.java:370),stack_exception,9755
805,UNKNOWN,stack_exception,1,True,at org.gradle.internal.execution.steps.TimeoutStep.execute(TimeoutStep.java:55),stack_exception,805
18611,UNKNOWN,stack_exception,1,True,"2025-07-25T02:01:07.660065,Hello I have the same problem when using a Custom ApplicationExceptionHandler extending ResponseEntityExceptionHandler. It seams that AccessDeniedException are automatically catched when using this type of handler but not AuthorizationDeniedException. It is possible to add a custom exception handler for AuthorizationDeniedException to bypass this problem but it should not be necessary.,unknown,github_issue,spring-projects/spring-security,15254,""Endpoint returns a 500, instead of 403 status code when the user does not have required permission"",https://github.com/spring-projects/spring-security/issues/15254",stack_exception,18611
13392,ERROR,stack_exception,1,True,"2025-07-25T00:30:31.183559,""@kridtakom, the Framework change should hopefully fix your problem. In the absence of an example that we can try ourselves, can you please test 6.2.6-SNAPSHOT against your app? It's available from https://repo.spring.io/snapshot."",unknown,github_issue,spring-projects/spring-boot,44988,Error dependency cycle between beans when upgrade spring boot version from 3.4.3 to 3.4.4,https://github.com/spring-projects/spring-boot/issues/44988",stack_exception,13392
13578,UNKNOWN,stack_exception,1,True,at org.springframework.boot.SpringApplication.handleRunFailure(SpringApplication.java:823),stack_exception,13578
26447,UNKNOWN,stack_exception,1,True,java.lang.IllegalStateException: already released ReferenceCounter@4efeb79f[r=0],stack_exception,26447
20819,UNKNOWN,stack_exception,1,True,at org.springframework.security.web.util.matcher.DispatcherTypeRequestMatcher.matches(DispatcherTypeRequestMatcher.java:72),stack_exception,20819
25140,ERROR,stack_exception,1,True,Picked up JAVA_TOOL_OPTIONS: -Djava.security.properties=/layers/paketo-buildpacks_bellsoft-liberica/java-security-properties/java-security.properties -XX:+ExitOnOutOfMemoryError -XX:MaxDirectMemorySize=10M -Xmx6082201K -XX:MaxMetaspaceSize=79862K -XX:ReservedCodeCacheSize=240M -Xss1M -XX:+UnlockDiagnosticVMOptions -XX:NativeMemoryTracking=summary -XX:+PrintNMTStatistics -Dorg.springframework.cloud.bindings.boot.enable=true,stack_exception,25140
23004,UNKNOWN,stack_exception,1,True,at org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun(NioEndpoint.java:1716),stack_exception,23004
9658,ERROR,stack_exception,1,True,"2025-07-25T00:18:59.785273,I think this [sentence](https://docs.spring.io/spring-boot/reference/web/spring-security.html ) can be rephrased a little bit with including information that Boot's `/error` endpoint is also secured by default.,unknown,github_issue,spring-projects/spring-boot,45663,Improve documentation for configuring Spring Security with '/error',https://github.com/spring-projects/spring-boot/issues/45663",stack_exception,9658
21488,UNKNOWN,stack_exception,1,True,Caused by: com.nimbusds.jose.proc.BadJOSEException: JOSE header typ (type) logout+jwt not allowed,stack_exception,21488
1403,UNKNOWN,stack_exception,1,True,at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:116),stack_exception,1403
2810,UNKNOWN,stack_exception,1,True,Halo  | 	at io.netty.util.concurrent.FastThreadLocalRunnable.run(FastThreadLocalRunnable.java:30) ~[netty-common-4.1.119.Final.jar:4.1.119.Final],stack_exception,2810
2464,UNKNOWN,stack_exception,1,True,at liquibase.Scope.child(Scope.java:179),stack_exception,2464
7427,UNKNOWN,stack_exception,1,True,at org.gradle.internal.operations.DefaultBuildOperationRunner$2.execute(DefaultBuildOperationRunner.java:59),stack_exception,7427
6848,ERROR,stack_exception,1,True,- Enhanced error and warning reporting with the Problems API,stack_exception,6848
5286,UNKNOWN,stack_exception,1,True,at org.gradle.api.internal.tasks.testing.SuiteTestClassProcessor.stop(SuiteTestClassProcessor.java:61),stack_exception,5286
8072,UNKNOWN,stack_exception,1,True,at org.springframework.web.servlet.mvc.method.annotation.ServletInvocableHandlerMethod.invokeAndHandle(ServletInvocableHandlerMethod.java:118) ~[spring_boot.exe:6.2.7],stack_exception,8072
4529,UNKNOWN,stack_exception,1,True,at org.springframework.boot.context.properties.bind.Binder.lambda$bindDataObject$6(Binder.java:488),stack_exception,4529
16349,UNKNOWN,stack_exception,1,True,at org.springframework.beans.factory.aot.BeanInstanceSupplier.lambda$get$2(BeanInstanceSupplier.java:225) ~[na:na],stack_exception,16349
26599,UNKNOWN,stack_exception,1,True,at ch.qos.logback.core.pattern.PatternLayoutBase.caterForLegacyConverterMaps(PatternLayoutBase.java:111),stack_exception,26599
24872,UNKNOWN,stack_exception,1,True,at org.springframework.boot.context.event.EventPublishingRunListener.multicastInitialEvent(EventPublishingRunListener.java:136),stack_exception,24872
2812,UNKNOWN,stack_exception,1,True,"Halo  | Caused by: java.lang.IllegalArgumentException: The class with org.springframework.security.web.authentication.switchuser.SwitchUserGrantedAuthority and name of org.springframework.security.web.authentication.switchuser.SwitchUserGrantedAuthority is not in the allowlist. If you believe this class is safe to deserialize, please provide an explicit mapping using Jackson annotations or by providing a Mixin. If the serialization is only done by a trusted source, you can also enable default typing. See https://github.com/spring-projects/spring-security/issues/4370 for details",stack_exception,2812
603,UNKNOWN,stack_exception,1,True,at java.base/java.lang.reflect.Method.invoke(Method.java:569),stack_exception,603
19016,UNKNOWN,stack_exception,1,True,"|_     Mono.doOnSuccess ⇢ at org.springframework.security.web.server.ObservationWebFilterChainDecorator$ObservationWebFilter.wrapFilter(ObservationWebFilterChainDecorator.java:211)"",unknown,github_issue,spring-projects/spring-security,15243,NullPointerException when GrantedAuthority.getAuthority() returns null,https://github.com/spring-projects/spring-security/issues/15243",stack_exception,19016
10603,UNKNOWN,stack_exception,1,True,at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:90) ~[tomcat-embed-core-10.1.33.jar:10.1.33],stack_exception,10603
2776,UNKNOWN,stack_exception,1,True,at org.springframework.beans.factory.support.SimpleInstantiationStrategy.instantiateWithFactoryMethod(SimpleInstantiationStrategy.java:88),stack_exception,2776
22158,UNKNOWN,stack_exception,1,True,at org.springframework.util.Assert.state(Assert.java:76) ~[spring-core-6.1.16.jar:6.1.16],stack_exception,22158
3901,UNKNOWN,stack_exception,1,True,at org.springframework.util.Assert.notNull(Assert.java:181) ~[spring-core-6.2.5.jar:6.2.5],stack_exception,3901
25402,UNKNOWN,stack_exception,1,True,at org.graalvm.nativeimage.builder/com.oracle.svm.core.jni.functions.JNIFunctions.GetFieldID(JNIFunctions.java:461),stack_exception,25402
5325,UNKNOWN,stack_exception,1,True,"2025-07-25T23:21:48.016546,""<li><a href=""""https://redirect.github.com/springdoc/springdoc-openapi/issues/2834"""">#2834</a> - java.lang.ClassNotFoundException: kotlin.reflect.full.KClasses when upgrade from 2.7.0 to 2.8.0</li>"",unknown,github_issue,jhipster/generator-jhipster,28450,build(deps): bump org.springdoc:springdoc-openapi-starter-webmvc-api from 2.7.0 to 2.8.2 in /generators/server/resources,https://github.com/jhipster/generator-jhipster/pull/28450",stack_exception,5325
3655,UNKNOWN,stack_exception,1,True,at java.base/java.lang.reflect.Method.invoke(Method.java:573) ~[na:na],stack_exception,3655
17786,UNKNOWN,stack_exception,1,True,"2025-07-25T00:38:48.889056,""Spring Boot isn't involved at all at that level. Without any evidence of a Spring boot bug, I'm going to close this one. If the version of Hibernate makes no difference, Spring Data JPA is the next most likely cause. If you want to pursue this by opening a Spring Data JPA issue, please create a complete yet minimal sample before doing so."",unknown,github_issue,spring-projects/spring-boot,44506,""Exception thrown in jpa query with @Param(""""example"""") parameter after Spring Boot upgrade to 3.4.3 from 3.4.2"",https://github.com/spring-projects/spring-boot/issues/44506",stack_exception,17786
2150,UNKNOWN,stack_exception,1,True,at org.springframework.boot.loader.launch.Launcher.launch(Launcher.java:102),stack_exception,2150
21207,UNKNOWN,stack_exception,1,True,at org.springframework.security.web.ObservationFilterChainDecorator$ObservationFilter.doFilter(ObservationFilterChainDecorator.java:227),stack_exception,21207
18689,UNKNOWN,stack_exception,1,True,at java.base@24/java.lang.invoke.LambdaForm$DMH/sa346b79c.invokeStaticInit(LambdaForm$DMH),stack_exception,18689
17303,UNKNOWN,stack_exception,1,True,at reactor.core.publisher.FluxPublish$PubSubInner.request(FluxPublish.java:874),stack_exception,17303
10748,UNKNOWN,stack_exception,1,True,at org.springframework.boot.docker.compose.lifecycle.DockerComposeListener.onApplicationEvent(DockerComposeListener.java:53),stack_exception,10748
15936,ERROR,stack_exception,1,True,"2025-07-25T01:57:02.549771,""When using Apache Tomcat, adding headers from different threads causes nasty race conditions that (because of Tomcat's instance recycling) can durably break the inner workings of their `org.apache.tomcat.util.http.MimeHeaders` class, potentially leading to errors in completely unrelated requests. I already experienced duplicate and missing response headers. As with most race conditions, these specific issues are almost impossible to reproduce."",unknown,github_issue,spring-projects/spring-security,15510,Race condition in HeaderWriterFilter when using asynchronous processing,https://github.com/spring-projects/spring-security/issues/15510",stack_exception,15936
10659,UNKNOWN,stack_exception,1,True,at java.base/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(DirectMethodHandleAccessor.java:103),stack_exception,10659
22398,UNKNOWN,stack_exception,1,True,at org.springframework.boot.testcontainers.service.connection.elasticsearch.ElasticsearchContainerConnectionDetailsFactoryTests.connectionCanBeMadeToElasticsearchContainer(ElasticsearchContainerConnectionDetailsFactoryTests.java:61),stack_exception,22398
1256,ERROR,stack_exception,1,True,2025-05-29T18:01:11.395+01:00 ERROR 62676 --- [notaries] [           main] [                                                 ] o.s.t.w.reactive.server.ExchangeResult   : Request details for assertion failure:,stack_exception,1256
1701,ERROR,stack_exception,1,True,"[INFO] Tests run: 49, Failures: 0, Errors: 0, Skipped: 0"",unknown,github_issue,jhipster/generator-jhipster,29641,persistent integration test failure,https://github.com/jhipster/generator-jhipster/issues/29641",stack_exception,1701
19478,UNKNOWN,stack_exception,1,True,at org.apache.catalina.core.StandardService.startInternal(StandardService.java:415) ~[tomcat-embed-core-10.1.36.jar:10.1.36],stack_exception,19478
10094,UNKNOWN,stack_exception,1,True,- [x] org.springframework.security.oauth2.client.ClientAuthorizationRequiredException,stack_exception,10094
12350,UNKNOWN,stack_exception,1,True,at org.springframework.beans.factory.support.DefaultListableBeanFactory.preInstantiateSingletons(DefaultListableBeanFactory.java:975),stack_exception,12350
27150,UNKNOWN,stack_exception,1,True,at io.netty.handler.codec.dns.DatagramDnsQueryEncoder.encode(DatagramDnsQueryEncoder.java:58),stack_exception,27150
14059,UNKNOWN,stack_exception,1,True,at org.springframework.boot.loader.launch.JarLauncher.main(JarLauncher.java:40),stack_exception,14059
25570,ERROR,stack_exception,1,True,"Unexpected error"",unknown,github_issue,spring-projects/spring-boot,43634,build doc task failed,https://github.com/spring-projects/spring-boot/issues/43634",stack_exception,25570
16010,ERROR,stack_exception,1,True,native-query-error3-review-1  | 	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.doCreateBean(AbstractAutowireCapableBeanFactory.java:601),stack_exception,16010
12322,UNKNOWN,stack_exception,1,True,at org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:385),stack_exception,12322
10834,UNKNOWN,stack_exception,1,True,at org.springframework.boot.docker.compose.lifecycle.DockerComposeListener.onApplicationEvent(DockerComposeListener.java:53),stack_exception,10834
16577,UNKNOWN,stack_exception,1,True,at jakarta.servlet.http.HttpServlet.service(HttpServlet.java:527) ~[jakarta.jakartaee-api-10.0.0.jar:na],stack_exception,16577
10637,UNKNOWN,stack_exception,1,True,at org.springframework.boot.docker.compose.core.DockerCli.lambda$new$0(DockerCli.java:65),stack_exception,10637
2482,UNKNOWN,stack_exception,1,True,at com.zaxxer.hikari.pool.HikariPool.<init>(HikariPool.java:101),stack_exception,2482
3620,ERROR,stack_exception,1,True,[creator]     ERROR: Please check that you are running against the correct path.,stack_exception,3620
7473,UNKNOWN,stack_exception,1,True,at org.gradle.internal.operations.DefaultBuildOperationRunner$2.execute(DefaultBuildOperationRunner.java:59),stack_exception,7473
294,UNKNOWN,stack_exception,1,True,at org.gradle.internal.Either$Right.fold(Either.java:175),stack_exception,294
7843,ERROR,stack_exception,1,True,"create src/main/java/com/mycompany/myapp/web/rest/errors/LoginAlreadyUsedException.java"",unknown,github_issue,jhipster/generator-jhipster,28038,JHipster setup and try to find Docker when it is not used ,https://github.com/jhipster/generator-jhipster/issues/28038",stack_exception,7843
11995,UNKNOWN,stack_exception,1,True,at org.gradle.launcher.exec.RunAsBuildOperationBuildActionExecutor.execute(RunAsBuildOperationBuildActionExecutor.java:57),stack_exception,11995
1187,ERROR,stack_exception,1,True,at org.springframework.test.util.AssertionErrors.fail(AssertionErrors.java:61),stack_exception,1187
27096,UNKNOWN,stack_exception,1,True,at io.netty.resolver.dns.DnsResolveContext.query(DnsResolveContext.java:487),stack_exception,27096
25824,UNKNOWN,stack_exception,1,True,at java.base/java.lang.reflect.Method.invoke(Method.java:580) ~[na:na],stack_exception,25824
1337,UNKNOWN,stack_exception,1,True,at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:90),stack_exception,1337
4216,UNKNOWN,stack_exception,1,True,jhipster-registry-1  | 	at org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.createWebServer(ServletWebServerApplicationContext.java:184),stack_exception,4216
24079,UNKNOWN,stack_exception,1,True,at org.springframework.boot.web.embedded.netty.NettyReactiveWebServerFactory.customizeSslConfiguration(NettyReactiveWebServerFactory.java:177),stack_exception,24079
11526,UNKNOWN,stack_exception,1,True,at java.lang.Thread.run(java.base@17.0.13/Thread.java:840),stack_exception,11526
19037,ERROR,stack_exception,1,True,|_       Mono.doOnError ⇢ at org.springframework.security.web.server.ObservationWebFilterChainDecorator$AroundWebFilterObservation$SimpleAroundWebFilterObservation.lambda$wrap$6(ObservationWebFilterChainDecorator.java:369),stack_exception,19037
4689,UNKNOWN,stack_exception,1,True,at org.springframework.util.Assert.notNull(Assert.java:182),stack_exception,4689
5024,UNKNOWN,stack_exception,1,True,at org.gradle.process.internal.ExecHandleRunner.run(ExecHandleRunner.java:84),stack_exception,5024
11203,UNKNOWN,stack_exception,1,True,"at org.springframework.util.function.ThrowingSupplier.get(ThrowingSupplier.java:58)"",unknown,github_issue,spring-projects/spring-boot,45338,FileNotFoundException when loading PEM SSL bundles from classpath using Cloud Native Buildpacks,https://github.com/spring-projects/spring-boot/issues/45338",stack_exception,11203
21441,UNKNOWN,stack_exception,1,True,at org.junit.platform.engine.support.hierarchical.NodeTestTask.lambda$executeRecursively$6(NodeTestTask.java:160) ~[junit-platform-engine-1.11.4.jar:1.11.4],stack_exception,21441
11824,UNKNOWN,stack_exception,1,True,"2025-07-25T01:47:47.198538,spring-security-web org.springframework.security.web.server.firewall.StrictServerWebExchangeFirewall.StrictFirewallServerWebExchange.StrictFirewallHttpRequest#getHeaders,unknown,github_issue,spring-projects/spring-security,16085,""when i asked request, I got java.lang.UnsupportedOperationException"",https://github.com/spring-projects/spring-security/issues/16085",stack_exception,11824
24364,UNKNOWN,stack_exception,1,True,at org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor.postProcessProperties(AutowiredAnnotationBeanPostProcessor.java:509) ~[spring-beans-6.2.0.jar:6.2.0],stack_exception,24364
215,UNKNOWN,stack_exception,1,True,at org.gradle.execution.plan.DefaultPlanExecutor$ExecutorWorker.execute(DefaultPlanExecutor.java:459),stack_exception,215
22226,UNKNOWN,stack_exception,1,True,"2025-07-25T02:06:50.063055,""is expected to gracefully handle incorrect LDAP authentication attempts by throwing an AuthenticationException, not an Endless Authentication Loop , due to recursive provider delegation."",unknown,github_issue,spring-projects/spring-security,14886,Endless Authentication Loop with ActiveDirectoryLdapAuthenticationProvider on Incorrect Password,https://github.com/spring-projects/spring-security/issues/14886",stack_exception,22226
12446,UNKNOWN,stack_exception,1,True,at org.gradle.api.internal.project.DefaultProjectStateRegistry$ProjectStateImpl.applyToMutableState(DefaultProjectStateRegistry.java:410),stack_exception,12446
23797,ERROR,stack_exception,1,True,"2025-07-25T00:47:44.000344,""@philwebb Thanks for the reply! I get that Spring Boot delegates validation to Hibernate Validator, but it's frustrating that basic error handling, like controlling validation order or preventing multiple messages for the same field, isn't possible with just spring-boot-starter-validation. It seems like such functionality should be built-in, especially when Hibernate Validator is required just for error handling. but it feels like Spring Boot should handle this better out of the box."",unknown,github_issue,spring-projects/spring-boot,43979,Ensure Only the First Validation Error Per Field in Spring Boot with Multiple Constraints,https://github.com/spring-projects/spring-boot/issues/43979",stack_exception,23797
4402,UNKNOWN,stack_exception,1,True,at org.gradle.api.internal.plugins.DefaultPluginManager.addPlugin(DefaultPluginManager.java:190),stack_exception,4402
27642,UNKNOWN,stack_exception,1,True,at jdk.internal.reflect.DirectMethodHandleAccessor.invokeImpl(java.base@21.0.4/DirectMethodHandleAccessor.java:154),stack_exception,27642
18832,UNKNOWN,stack_exception,1,True,|_     Mono.doOnSuccess ⇢ at org.springframework.security.web.server.ObservationWebFilterChainDecorator$AroundWebFilterObservation$SimpleAroundWebFilterObservation.lambda$wrap$6(ObservationWebFilterChainDecorator.java:367),stack_exception,18832
863,UNKNOWN,stack_exception,1,True,at org.gradle.api.internal.tasks.execution.ExecuteActionsTaskExecuter.execute(ExecuteActionsTaskExecuter.java:116),stack_exception,863
10713,UNKNOWN,stack_exception,1,True,at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:101) ~[spring-web-6.2.0.jar:6.2.0],stack_exception,10713
18317,UNKNOWN,stack_exception,1,True,at org.springframework.web.method.support.InvocableHandlerMethod.invokeForRequest(InvocableHandlerMethod.java:188) ~[spring-web-6.1.8.jar:6.1.8],stack_exception,18317
12790,UNKNOWN,stack_exception,1,True,at 	at org.springframework.boot.json.JsonWriter$Member.write(JsonWriter.java:650),stack_exception,12790
5745,UNKNOWN,stack_exception,1,True,>     at env.queueTask.once (file:///C:/Users/flyli/AppData/Roaming/nvm/v20.18.0/node_modules/generator-jhipster/node_modules/yeoman-generator/dist/actions/lifecycle.js:232:56),stack_exception,5745
23645,UNKNOWN,stack_exception,1,True,at org.springframework.context.event.SimpleApplicationEventMulticaster.invokeListener(SimpleApplicationEventMulticaster.java:178),stack_exception,23645
12546,UNKNOWN,stack_exception,1,True,at org.gradle.internal.session.BuildSessionState.run(BuildSessionState.java:71),stack_exception,12546
3573,UNKNOWN,stack_exception,1,True,at org.springframework.context.support.AbstractApplicationContext.finishBeanFactoryInitialization(AbstractApplicationContext.java:987) ~[spring-context-6.2.5.jar:6.2.5],stack_exception,3573
544,UNKNOWN,stack_exception,1,True,at org.gradle.execution.plan.LocalTaskNodeExecutor.execute(LocalTaskNodeExecutor.java:42),stack_exception,544
12439,UNKNOWN,stack_exception,1,True,at org.springframework.boot.buildpack.platform.build.Builder.build(Builder.java:107),stack_exception,12439
4975,UNKNOWN,stack_exception,1,True,at org.gradle.api.internal.tasks.execution.ExecuteActionsTaskExecuter.executeIfValid(ExecuteActionsTaskExecuter.java:140),stack_exception,4975
5018,UNKNOWN,stack_exception,1,True,at org.gradle.internal.event.ListenerBroadcast.dispatch(ListenerBroadcast.java:37),stack_exception,5018
12565,UNKNOWN,stack_exception,1,True,at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:116),stack_exception,12565
